Episode no = 1030; won: False; Q(s,a) = 72.81322028343345; reward = -338.0; and epsilon = 0.8626666666666667, win percentage = 0.0, 2022-05-01 08:38:32
Episode no = 1040; won: False; Q(s,a) = 66.68911558292238; reward = -474.0; and epsilon = 0.8613333333333333, win percentage = 0.0, 2022-05-01 08:38:46
Episode no = 1050; won: False; Q(s,a) = 76.69519704445743; reward = -481.0; and epsilon = 0.86, win percentage = 0.0, 2022-05-01 08:39:02
Episode no = 1060; won: False; Q(s,a) = 75.38488859555099; reward = -461.0; and epsilon = 0.8586666666666667, win percentage = 0.0, 2022-05-01 08:39:22
Episode no = 1070; won: False; Q(s,a) = 75.85881942195299; reward = -392.0; and epsilon = 0.8573333333333333, win percentage = 0.0, 2022-05-01 08:39:31
Episode no = 1080; won: False; Q(s,a) = 67.21220855891907; reward = -444.0; and epsilon = 0.856, win percentage = 0.0, 2022-05-01 08:39:45
Episode no = 1090; won: False; Q(s,a) = 76.30226955352745; reward = -342.0; and epsilon = 0.8546666666666667, win percentage = 0.0, 2022-05-01 08:39:57
Episode no = 1100; won: False; Q(s,a) = 75.25473095432024; reward = -383.0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2022-05-01 08:40:17
Episode no = 1110; won: False; Q(s,a) = 69.9094575883486; reward = -442.0; and epsilon = 0.852, win percentage = 0.0, 2022-05-01 08:40:24
Episode no = 1120; won: False; Q(s,a) = 73.83743692854098; reward = -455.0; and epsilon = 0.8506666666666667, win percentage = 0.0, 2022-05-01 08:40:36
Episode no = 1130; won: False; Q(s,a) = 73.35958750822802; reward = -460.0; and epsilon = 0.8493333333333333, win percentage = 0.0, 2022-05-01 08:40:44
Episode no = 1140; won: False; Q(s,a) = 70.33038325074195; reward = -464.0; and epsilon = 0.848, win percentage = 0.0, 2022-05-01 08:41:00
Episode no = 1150; won: False; Q(s,a) = 65.96041821833562; reward = -374.0; and epsilon = 0.8466666666666667, win percentage = 0.0, 2022-05-01 08:41:09
Episode no = 1160; won: False; Q(s,a) = 61.47730086874024; reward = -467.0; and epsilon = 0.8453333333333333, win percentage = 0.0, 2022-05-01 08:41:29
Episode no = 1170; won: False; Q(s,a) = 68.48088900318439; reward = -466.0; and epsilon = 0.844, win percentage = 0.0, 2022-05-01 08:41:48
Episode no = 1180; won: False; Q(s,a) = 79.89790311145566; reward = -449.0; and epsilon = 0.8426666666666667, win percentage = 0.0, 2022-05-01 08:41:59
Episode no = 1190; won: False; Q(s,a) = 74.12424474496018; reward = -441.0; and epsilon = 0.8413333333333333, win percentage = 0.0, 2022-05-01 08:42:22
Episode no = 1200; won: False; Q(s,a) = 74.1659412043899; reward = -353.0; and epsilon = 0.84, win percentage = 0.0, 2022-05-01 08:42:40
Episode no = 1210; won: False; Q(s,a) = 78.41324315139614; reward = -455.0; and epsilon = 0.8386666666666667, win percentage = 0.0, 2022-05-01 08:43:07
Episode no = 1220; won: False; Q(s,a) = 82.49662082545561; reward = -272.0; and epsilon = 0.8373333333333334, win percentage = 0.0, 2022-05-01 08:43:27
Episode no = 1230; won: False; Q(s,a) = 82.08573151957398; reward = -339.0; and epsilon = 0.836, win percentage = 0.0, 2022-05-01 08:43:53
Episode no = 1240; won: False; Q(s,a) = 82.59211614355179; reward = -348.0; and epsilon = 0.8346666666666667, win percentage = 0.0, 2022-05-01 08:44:07
Episode no = 1250; won: False; Q(s,a) = 71.10275650866724; reward = -376.0; and epsilon = 0.8333333333333334, win percentage = 0.0, 2022-05-01 08:44:30
Episode no = 1260; won: False; Q(s,a) = 80.41883428874698; reward = -452.0; and epsilon = 0.832, win percentage = 0.0, 2022-05-01 08:44:36
Episode no = 1270; won: False; Q(s,a) = 69.46829883740524; reward = -497.0; and epsilon = 0.8306666666666667, win percentage = 0.0, 2022-05-01 08:44:53
Episode no = 1280; won: False; Q(s,a) = 82.38821041345145; reward = -382.0; and epsilon = 0.8293333333333334, win percentage = 0.0, 2022-05-01 08:45:07
Episode no = 1290; won: False; Q(s,a) = 78.4112527941462; reward = -387.0; and epsilon = 0.8280000000000001, win percentage = 0.0, 2022-05-01 08:45:27
Episode no = 1300; won: False; Q(s,a) = 79.3997146435145; reward = -427.0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2022-05-01 08:45:42
Episode no = 1310; won: False; Q(s,a) = 86.73720843996648; reward = -414.0; and epsilon = 0.8253333333333334, win percentage = 0.0, 2022-05-01 08:45:56
Episode no = 1320; won: False; Q(s,a) = 74.72932497182097; reward = -261.0; and epsilon = 0.8240000000000001, win percentage = 0.0, 2022-05-01 08:46:13
Episode no = 1330; won: False; Q(s,a) = 86.80502758627782; reward = -461.0; and epsilon = 0.8226666666666667, win percentage = 0.0, 2022-05-01 08:46:27
Episode no = 1340; won: False; Q(s,a) = 81.16205901732998; reward = -417.0; and epsilon = 0.8213333333333334, win percentage = 0.0, 2022-05-01 08:46:41
Episode no = 1350; won: False; Q(s,a) = 106.73763588131152; reward = -428.0; and epsilon = 0.8200000000000001, win percentage = 0.0, 2022-05-01 08:47:01
Episode no = 1360; won: False; Q(s,a) = 81.311464705695; reward = -324.0; and epsilon = 0.8186666666666667, win percentage = 0.0, 2022-05-01 08:47:19
Episode no = 1370; won: False; Q(s,a) = 85.14367235457118; reward = -479.0; and epsilon = 0.8173333333333334, win percentage = 0.0, 2022-05-01 08:47:30
Episode no = 1380; won: False; Q(s,a) = 84.13133288992941; reward = -495.0; and epsilon = 0.8160000000000001, win percentage = 0.0, 2022-05-01 08:47:44
Episode no = 1390; won: False; Q(s,a) = 82.29685744384719; reward = -218.0; and epsilon = 0.8146666666666667, win percentage = 0.0, 2022-05-01 08:48:03
Episode no = 1400; won: False; Q(s,a) = 80.10622366847642; reward = -469.0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2022-05-01 08:48:19
Episode no = 1410; won: False; Q(s,a) = 89.22130952174481; reward = -448.0; and epsilon = 0.812, win percentage = 0.0, 2022-05-01 08:48:29
Episode no = 1420; won: False; Q(s,a) = 90.33323369962201; reward = -474.0; and epsilon = 0.8106666666666666, win percentage = 0.0, 2022-05-01 08:48:40
Episode no = 1430; won: False; Q(s,a) = 89.89792327005866; reward = -446.0; and epsilon = 0.8093333333333333, win percentage = 0.0, 2022-05-01 08:48:56
Episode no = 1440; won: False; Q(s,a) = 84.00760947907294; reward = -458.0; and epsilon = 0.808, win percentage = 0.0, 2022-05-01 08:49:11
Episode no = 1450; won: False; Q(s,a) = 81.09844112739249; reward = -453.0; and epsilon = 0.8066666666666666, win percentage = 0.0, 2022-05-01 08:49:28
Episode no = 1460; won: False; Q(s,a) = 87.97218054363466; reward = -481.0; and epsilon = 0.8053333333333333, win percentage = 0.0, 2022-05-01 08:49:39
Episode no = 1470; won: False; Q(s,a) = 86.35441236049103; reward = -430.0; and epsilon = 0.804, win percentage = 0.0, 2022-05-01 08:49:58
Episode no = 1480; won: False; Q(s,a) = 91.92289963093411; reward = -331.0; and epsilon = 0.8026666666666666, win percentage = 0.0, 2022-05-01 08:50:18
Episode no = 1490; won: False; Q(s,a) = 89.81181525978488; reward = -435.0; and epsilon = 0.8013333333333333, win percentage = 0.0, 2022-05-01 08:50:35
Episode no = 1500; won: False; Q(s,a) = 90.26011471193759; reward = -421.0; and epsilon = 0.8, win percentage = 0.0, 2022-05-01 08:50:50
Episode no = 1510; won: False; Q(s,a) = 94.24281662514258; reward = -348.0; and epsilon = 0.7986666666666666, win percentage = 0.0, 2022-05-01 08:51:12
Episode no = 1520; won: False; Q(s,a) = 92.90611292374858; reward = -424.0; and epsilon = 0.7973333333333333, win percentage = 0.0, 2022-05-01 08:51:31
Episode no = 1530; won: False; Q(s,a) = 77.8853151909466; reward = -475.0; and epsilon = 0.796, win percentage = 0.0, 2022-05-01 08:51:49
Episode no = 1540; won: False; Q(s,a) = 93.3743811458378; reward = -433.0; and epsilon = 0.7946666666666666, win percentage = 0.0, 2022-05-01 08:52:06
Episode no = 1550; won: False; Q(s,a) = 92.43405066334454; reward = -426.0; and epsilon = 0.7933333333333333, win percentage = 0.0, 2022-05-01 08:52:17
Episode no = 1560; won: False; Q(s,a) = 84.23937166287074; reward = -389.0; and epsilon = 0.792, win percentage = 0.0, 2022-05-01 08:52:27
Episode no = 1570; won: False; Q(s,a) = 91.6380013602674; reward = -447.0; and epsilon = 0.7906666666666666, win percentage = 0.0, 2022-05-01 08:52:44
Episode no = 1580; won: False; Q(s,a) = 89.3653317289994; reward = -451.0; and epsilon = 0.7893333333333333, win percentage = 0.0, 2022-05-01 08:53:04
Episode no = 1590; won: False; Q(s,a) = 94.78120470877207; reward = -253.0; and epsilon = 0.788, win percentage = 0.0, 2022-05-01 08:53:21
Episode no = 1600; won: False; Q(s,a) = 90.89672155180436; reward = -410.0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2022-05-01 08:53:35
Episode no = 1610; won: False; Q(s,a) = 98.01150176462566; reward = -460.0; and epsilon = 0.7853333333333333, win percentage = 0.0, 2022-05-01 08:53:47
Episode no = 1620; won: False; Q(s,a) = 96.85046070350704; reward = -339.0; and epsilon = 0.784, win percentage = 0.0, 2022-05-01 08:54:01
Episode no = 1630; won: False; Q(s,a) = 99.00943910422029; reward = -453.0; and epsilon = 0.7826666666666666, win percentage = 0.0, 2022-05-01 08:54:15
Episode no = 1640; won: False; Q(s,a) = 95.07406380349339; reward = -404.0; and epsilon = 0.7813333333333333, win percentage = 0.0, 2022-05-01 08:54:32
Episode no = 1650; won: False; Q(s,a) = 89.53621414676793; reward = -387.0; and epsilon = 0.78, win percentage = 0.0, 2022-05-01 08:54:45
Episode no = 1660; won: False; Q(s,a) = 99.3796853163755; reward = -219.0; and epsilon = 0.7786666666666666, win percentage = 0.0, 2022-05-01 08:55:06
Episode no = 1670; won: False; Q(s,a) = 96.54459273630683; reward = -343.0; and epsilon = 0.7773333333333333, win percentage = 0.0, 2022-05-01 08:55:21
Episode no = 1680; won: False; Q(s,a) = 97.24219089092595; reward = -427.0; and epsilon = 0.776, win percentage = 0.0, 2022-05-01 08:55:38
Episode no = 1690; won: False; Q(s,a) = 94.44365268495719; reward = -364.0; and epsilon = 0.7746666666666666, win percentage = 0.0, 2022-05-01 08:55:57
Episode no = 1700; won: False; Q(s,a) = 95.4995458168229; reward = -444.0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2022-05-01 08:56:08
Episode no = 1710; won: False; Q(s,a) = 101.91576904164901; reward = -293.0; and epsilon = 0.772, win percentage = 0.0, 2022-05-01 08:56:20
Episode no = 1720; won: False; Q(s,a) = 103.55874434457456; reward = -401.0; and epsilon = 0.7706666666666666, win percentage = 0.0, 2022-05-01 08:56:44
Episode no = 1730; won: False; Q(s,a) = 99.95129150602654; reward = -453.0; and epsilon = 0.7693333333333333, win percentage = 0.0, 2022-05-01 08:56:57
Episode no = 1740; won: False; Q(s,a) = 89.7091341939798; reward = -461.0; and epsilon = 0.768, win percentage = 0.0, 2022-05-01 08:57:09
Episode no = 1750; won: False; Q(s,a) = 103.82033851524514; reward = -380.0; and epsilon = 0.7666666666666666, win percentage = 0.0, 2022-05-01 08:57:24
Episode no = 1760; won: False; Q(s,a) = 109.19055201587406; reward = -387.0; and epsilon = 0.7653333333333333, win percentage = 0.0, 2022-05-01 08:57:36
